"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"URB2",634.814506579204,-0.705919620905289,0.0779911200040099,-9.05128200324594,1.41299517400534e-19,1.07657154877235e-18
"ENTPD7",632.213179419518,-0.823866183619497,0.0804580699253548,-10.2396960849774,1.31649255768685e-24,1.61288257906807e-23
"HOOK3",582.176879648943,-0.792408983102345,0.0912460630966247,-8.68430873848471,3.81052523920448e-18,2.61811202312975e-17
"NIFK",1155.99299889925,0.5240637839592,0.0744789497147281,7.03640137201837,1.97268168021528e-12,8.26603828820188e-12
"THAP4",1183.54519456359,0.514823638073575,0.0766484278228065,6.716688817985,1.85900375033066e-11,7.13204892935569e-11
"PUS7L",587.027565622231,-0.786440757374835,0.0938196722927799,-8.38247180101649,5.18276131291888e-17,3.23646903264189e-16
"KRIT1",636.324270239552,-0.614811183401669,0.0885484667117626,-6.94321659349521,3.83271089894904e-12,1.55719018497475e-11
"ROMO1",1515.3902294805,0.85420961771251,0.211479095719529,4.03921538819795,5.36303003509324e-05,0.00011170359226133
"MEX3C",623.29621426623,-0.624199139082431,0.0872175099777669,-7.15680990252472,8.25760786255188e-13,3.5698355348163e-12
"DOCK9",607.21965535725,-0.970658409495103,0.0887908891026388,-10.9319595659534,8.10783815723734e-28,1.33655583590795e-26
"AKAP8L",1306.76840692462,0.500309195202486,0.0718965874169618,6.95873355297046,3.43345172928525e-12,1.40469793324485e-11
"TROAP",1182.78248019252,0.544153866626184,0.0753494349782447,7.22173785089821,5.13273486542458e-13,2.26165317944182e-12
"PSMG1",1251.76325841274,0.523306462312994,0.0704788364695334,7.42501562918407,1.12766598649182e-13,5.24444315660561e-13
"MEF2A",655.838130645649,-0.714970348948547,0.0751771530580758,-9.51047385894247,1.89795987988585e-21,1.71515102666257e-20
"FIGN",575.610314128145,-1.06459491981768,0.0804693610688843,-13.2298169847074,5.90309343192456e-40,2.87717200088135e-38
"RABAC1",1401.74801310155,0.642225853633237,0.0859052724385253,7.47597714788485,7.66322736975994e-14,3.61499764916593e-13
"PLEKHA5",579.074195997747,-1.07090494450129,0.104732362034222,-10.2251579521463,1.52978360829751e-24,1.86404408805277e-23
"GTF3A",1358.9294654274,0.74801507111836,0.0700859701307087,10.6728218175953,1.36419387153552e-26,2.01951551092118e-25
"ERI3",1306.36888455553,0.619596183865414,0.0703435367056989,8.80814660283092,1.27231967631177e-18,9.08867087295515e-18
"SLC9A6",713.685157092857,-0.578102794518741,0.0835954040598948,-6.91548537889163,4.66264132529722e-12,1.87967514281391e-11
"SNTB1",744.855233261126,-0.524790207153017,0.078566996545126,-6.6795248670553,2.39718163695185e-11,9.08090608318938e-11
"ZDHHC17",600.245465146419,-0.874335766769957,0.0833419514404813,-10.4909442562593,9.50734510373913e-26,1.29263510821331e-24
"DIABLO",1344.35368539107,0.699413224612123,0.0630315950873849,11.0962323520844,1.30844098711565e-28,2.32132217701029e-27
"PRKD2",1188.37368607028,0.542495751952998,0.0820928392761296,6.60832000374899,3.88705763245903e-11,1.44173530483048e-10
"NDUFB2",1511.98210192405,0.770976476593392,0.0862664812277465,8.93714992915948,3.99336379724359e-19,2.94936567979134e-18
"SPTY2D1",602.959487249598,-0.844500025313151,0.0751066865991844,-11.244005874203,2.47873434216379e-29,4.64783462368165e-28
"RCOR3",706.788156707438,-0.596890339701603,0.0778081731447879,-7.67130643963187,1.70253251513116e-14,8.48814308965501e-14
"P3H3",1340.12322893336,0.515391658276518,0.0692922505138388,7.43794081523714,1.02266856199056e-13,4.78248987025788e-13
"GFUS",1429.43481861266,0.753146161527668,0.0717139752586768,10.5020835731254,8.44942066456531e-26,1.15461162340381e-24
"RMND5A",727.160949073828,-0.527881516912757,0.076687668552762,-6.88352543342178,5.83891673407818e-12,2.33159464143122e-11
"PAK4",1172.70383987605,0.541677663062264,0.0743863383800599,7.28195089123337,3.29026859612205e-13,1.47238701744262e-12
"MYO5A",669.367675117828,-0.772801620976306,0.0876821449352864,-8.81367148975052,1.21112614705507e-18,8.66070662679579e-18
"TOMM22",1287.59440376292,0.539242893288506,0.0731123682557527,7.37553585191213,1.6368534254269e-13,7.50650750566866e-13
"MRPL20",1372.86855374621,0.602395406203035,0.0776697985483904,7.75585127631978,8.77528168790562e-15,4.49791488490561e-14
"TANC2",660.404094150936,-0.665507280541721,0.075346351333393,-8.83264111352892,1.0223262601095e-18,7.35345063278547e-18
"ZBTB10",638.081929304605,-0.744188852548019,0.0895382858350542,-8.31140383811848,9.45764716511688e-17,5.78033926556103e-16
"ZNF141",696.318330276225,-0.63586893280275,0.0827505274529548,-7.68416773130846,1.53994798056023e-14,7.6946105423922e-14
"SHOC2",628.47154034013,-0.823752821046582,0.0942273035743233,-8.74218819598116,2.28638208548467e-18,1.59444444918019e-17
"CDC14B",710.652289630408,-0.53677433246185,0.0777921504110224,-6.90010919643885,5.19625812160524e-12,2.08421511882924e-11
"MYCBP2",565.817957748179,-1.03417792693424,0.0832072394819644,-12.4289416807104,1.8202824203003e-35,5.95051645435213e-34
"AKAP9",683.412316786721,-0.771161167466809,0.0988247525965141,-7.80331999023907,6.02993946223475e-15,3.1542120371806e-14
"MRPL18",1135.74229975603,0.53442470150507,0.0693045735750928,7.71124723718285,1.24594023343358e-14,6.28603852450923e-14
"PPP1R16A",1205.004641206,0.58408084399194,0.0846451381296205,6.90034722487562,5.187558408371e-12,2.08134401400942e-11
"XRN1",595.187309623525,-1.05993856528515,0.0908443793892739,-11.6676295485849,1.86548880345443e-31,4.24721152368267e-30
"GALNT7",634.213873454032,-0.685551168756638,0.0855452552774585,-8.01390055512854,1.1112657268817e-15,6.17415579367482e-15
"ITGA4",601.172707144847,-0.868591383718442,0.0965824414602913,-8.99326389544163,2.39995112349071e-19,1.80511087009739e-18
"UBAC1",1282.75395809554,0.599720885500796,0.0721361468279921,8.31373606537128,9.27352770732973e-17,5.67551666258652e-16
"BTBD3",677.074622366651,-0.698814872172123,0.0871111784569263,-8.02210330006802,1.03949663856897e-15,5.78731716178128e-15
"ZZZ3",676.534326941702,-0.649601592661895,0.083780066851569,-7.75365331007407,8.9285879878588e-15,4.57302224674058e-14
"IFIT5",689.618638840116,-0.55276773103288,0.0832933240212111,-6.6363989854951,3.21439039822917e-11,1.20281277068991e-10
"ATP5IF1",1344.74010431706,0.546520272752868,0.0783533844902481,6.97506912188188,3.05720466579637e-12,1.25724399003706e-11
"NDUFC2",1360.19029805339,0.657274548168714,0.0656212310535661,10.0161874078861,1.29398607524972e-23,1.43550583417802e-22
"SEMA6B",1163.06114333705,0.576291739030843,0.0697043099608613,8.26766292291579,1.36610484754822e-16,8.26334298689452e-16
"MRPS26",1447.11386480687,0.888188393746799,0.0896734148452515,9.90470135747074,3.97154814911759e-23,4.21539870764438e-22
"CBR1",1307.22390149323,0.575903281139222,0.0681433743748421,8.4513466851715,2.87961784211435e-17,1.84604560714083e-16
"SLC25A11",1324.5752260902,0.595434903617106,0.0763017112358337,7.8036900349028,6.01227581718153e-15,3.14741123721473e-14
"EYA4",593.485094211479,-1.05402988001399,0.0828915932510959,-12.7157633081211,4.83366309121463e-37,1.77818216333757e-35
"LRRC75A",1404.32677191496,0.75597782712317,0.1046620822758,7.2230344618126,5.0840123420289e-13,2.24164763650334e-12
"GPS2",1264.51665802066,0.576069860100052,0.0658169765637644,8.752602902413,2.08487268574883e-18,1.46070919202361e-17
"G2E3",627.517106959012,-0.835724496965009,0.108020945535291,-7.73668933208858,1.02038985325041e-14,5.17710763199317e-14
"ZDBF2",497.84719771556,-1.52979409634188,0.103703004535236,-14.7516853846032,3.00076220501127e-49,3.78628883456609e-47
"CFDP1",1383.25920058161,0.595175859324667,0.0593008800227603,10.0365434559526,1.05299504108884e-23,1.1739459991528e-22
"NDUFA2",1441.27396230616,0.79471179001028,0.0755461981726018,10.5195471014251,7.02102540458003e-26,9.68241715906384e-25
"ZNF587",584.211944513468,-0.944167711349496,0.0831012632623429,-11.3616529314223,6.49048170517624e-30,1.28486793990593e-28
"CXCL8",660.576590594452,-0.52765937083198,0.080083208641357,-6.58888897914966,4.43129974292643e-11,1.63404523353784e-10
"SMARCAD1",676.459791896311,-0.719301481929388,0.0930817527816284,-7.72763146840266,1.09565987755674e-14,5.55065816393756e-14
"TMEM106B",614.687589787364,-0.92371707431253,0.103093179305094,-8.96002122098574,3.24615929680515e-19,2.41334783404e-18
"CCNE2",510.929052101438,-1.22506772839456,0.120688901231208,-10.1506245884835,3.29249416068598e-24,3.88226756885776e-23
"MAP3K9",746.58884380119,-0.516543785378436,0.0730557926740238,-7.07053837172451,1.54333750298945e-12,6.53389765690202e-12
"CAPN7",667.445156854418,-0.623560168396284,0.077553810280101,-8.04035502761466,8.95785533398103e-16,5.01825746323975e-15
"HECTD4",630.929146864091,-0.911832051418524,0.0964066063887696,-9.45819052836968,3.13317976418144e-21,2.79214917466757e-20
"FAM234A",1312.36900703548,0.547600181226099,0.0791286575194542,6.92037750155774,4.50441679912478e-12,1.81751737014297e-11
"ANTXR1",741.175845759836,-0.557159556977877,0.0719809942268471,-7.74037039863602,9.91276018290931e-15,5.04075989564816e-14
"DYRK1A",696.220078033423,-0.594676762285308,0.0753765002965505,-7.88941858464769,3.03597615148246e-15,1.62912217890162e-14
"SNU13",1423.98011937923,0.680854596112708,0.0853460210596226,7.97757865755761,1.49231803563126e-15,8.19015682888523e-15
"FAS",689.458677903201,-0.593117591543309,0.079277644495256,-7.48152389389926,7.3465678450341e-14,3.47168402085423e-13
"ZNF518B",591.326196252986,-1.20332426322939,0.0928927508358289,-12.9539092383651,2.23287328966751e-38,9.19086045237835e-37
"TSPO",1539.88294648328,0.783274799517812,0.0820964318686268,9.54091160467524,1.41582223897044e-21,1.29769287497216e-20
"ZNF608",590.562073783692,-1.0730586275814,0.0934311752022068,-11.4850169149543,1.56904752892488e-30,3.25903241354074e-29
"ZEB1",584.994870249988,-1.12289185240618,0.0952991930512547,-11.7828054619755,4.78727107674259e-32,1.14800971238191e-30
"NDUFA12",1380.07188307772,0.531874499620635,0.0729291336196733,7.29303192321425,3.03056246032944e-13,1.35887159670899e-12
"PPP1R12C",1345.37825126607,0.555441595990073,0.068430096256202,8.11691969437691,4.78164948349119e-16,2.75061992657071e-15
"KCTD9",684.837530919313,-0.603860886000834,0.090265753246878,-6.68981163154166,2.23458044350623e-11,8.49354464182927e-11
"ARF5",1566.57980237647,0.796224003873462,0.0764653864878823,10.4128683636437,2.16595342346025e-25,2.83908127865406e-24
"ZNF318",699.677121763521,-0.564837521631474,0.0775306317167712,-7.28534656721093,3.20844437434822e-13,1.43719998334689e-12
"PIN1",1629.70261731269,0.900364398124475,0.0737729956813587,12.20452537963,2.94017939806372e-34,8.64822702685365e-33
"ATP5PF",1384.54103763996,0.639851667204594,0.0781377775966403,8.18876204167991,2.63926772406949e-16,1.55194919610898e-15
"MARVELD1",1264.77993249439,0.565132494487984,0.0659692243680377,8.56660814041331,1.06577806623386e-17,7.05692480246362e-17
"SUCLG1",1340.32718848048,0.569215207915579,0.0655259401377708,8.68686823445467,3.72567843606888e-18,2.56242407363046e-17
"KLHL23",640.667468957423,-0.809052591681799,0.08486271588648,-9.53366367350369,1.51828309344998e-21,1.38502297599109e-20
"RNF217",660.335573059499,-0.845048688867085,0.0860539569657503,-9.81998642088493,9.23559856990107e-23,9.41055217299882e-22
"PHACTR2",677.24458868639,-0.690649917865844,0.0777045523752676,-8.88815258249488,6.2133318678627e-19,4.51973025581974e-18
"DENND5B",682.232185572075,-0.697671042293062,0.0746815628264752,-9.34194486414433,9.45805579178156e-21,8.10750547586304e-20
"H1-10",1670.16763954206,1.08500541453283,0.0834882551485678,12.995904784476,1.29072180670337e-38,5.47988525544095e-37
"CLTB",1688.29701352433,0.956579052117099,0.0758584753207122,12.6100484892809,1.85878621591431e-36,6.45127832932109e-35
"POLD2",1488.86235052606,0.838262372744114,0.0771989547136291,10.8584679138942,1.81773211434712e-27,2.91809765467307e-26
"DNA2",665.402051281025,-0.63092457708895,0.0890499035063823,-7.08506749862712,1.38976546832253e-12,5.90409804525568e-12
"PPTC7",607.041519860391,-0.950629131187955,0.0825920133162388,-11.5099401627136,1.17559942370033e-30,2.46839312898572e-29
"MPHOSPH9",733.57538829932,-0.606037807091469,0.0838785302001149,-7.22518391351878,5.0042412868356e-13,2.20936107304014e-12
"CTDSP1",1353.17200708606,0.618458125782631,0.0628202936405875,9.84487798355421,7.21266925477986e-23,7.43345401593763e-22
"SPINDOC",1212.3683266466,0.554391807241802,0.0803269058324544,6.90169503600886,5.13856582804534e-12,2.06291338817842e-11
"SPR",1419.36686773998,0.715207250119297,0.0714487230274738,10.0100774347539,1.37644762457553e-23,1.52323109667165e-22
"TOPORS",700.246677629341,-0.632120335401161,0.082307525334389,-7.67998227176749,1.59110607017379e-14,7.9414133284349e-14
"MBTPS2",699.518294371693,-0.599269276999634,0.0892919656399454,-6.71134600638186,1.9283723438711e-11,7.37952239642963e-11
"PRKAA2",618.629481123259,-0.979445667152085,0.0850446203912227,-11.5168444828895,1.08512486723594e-30,2.28910481758631e-29
"PDS5B",676.611032390079,-0.796288314785185,0.0829431204941645,-9.60041423617776,7.96237712584227e-22,7.46010087272703e-21
"NIPBL",639.817857564334,-0.87621889693655,0.0887943818218219,-9.86795424393858,5.73217202564624e-23,5.96496670107074e-22
"CCP110",615.406633340295,-1.06522603309315,0.0890961431761129,-11.9559163294819,6.0462933131301e-33,1.5698270388571e-31
"NDUFAB1",1387.4639564375,0.620222339890759,0.0664121084986221,9.33899485970435,9.72529520286511e-21,8.33129508463717e-20
"CUL5",657.625479688464,-0.792398862334965,0.083312977645808,-9.51110961012249,1.88639504082728e-21,1.70584189190952e-20
"NDUFA1",1475.1256165677,0.566377156471544,0.147990191585568,3.82712631427377,0.000129647992969269,0.000259931326563425
"DNAJB4",592.622121658561,-0.885585506404275,0.1008759641728,-8.77895456728695,1.65001160380915e-18,1.16632495617944e-17
"ZYG11B",647.97643078327,-0.770001498775066,0.0948189513981784,-8.12075526485793,4.63291434992115e-16,2.66847169958556e-15
"GYG1",1249.31547788759,0.549417481190468,0.0635125408181076,8.65053537637448,5.12583877263083e-18,3.48810228171818e-17
"ATG2B",617.545587897196,-0.960802721230866,0.0811449993004891,-11.8405660177888,2.40822169267365e-32,5.96576166473155e-31
"ZFTRAF1",1558.01459174883,0.877945353113182,0.0695675839646707,12.6200351238163,1.63748232674784e-36,5.74224646582405e-35
"DCAF1",728.967321952047,-0.576915653666863,0.0881183410168625,-6.5470553236637,5.86826293307956e-11,2.13608567968474e-10
"CDYL",686.206628097425,-0.642747554893948,0.0777695797704553,-8.26476826531765,1.39966368862916e-16,8.45875535370736e-16
"NFXL1",603.328001813325,-1.13972496698877,0.0877260131789616,-12.9918700928962,1.36061236039436e-38,5.74050858677631e-37
"RFX7",598.579795051955,-1.02447973018904,0.0883878275390715,-11.5907332345755,4.59184690081863e-31,1.00804105703988e-29
"SREK1IP1",686.210873505166,-0.801033082102619,0.0863668232491524,-9.27477765150381,1.77989889618608e-20,1.4833589504573e-19
"CCDC82",710.455178324526,-0.717767207581675,0.0924490344094242,-7.76392324881336,8.23417389251942e-15,4.22698029364657e-14
"BCOR",689.054273056298,-0.840621063875627,0.0831606783748175,-10.1083959426933,5.07076756652631e-24,5.8563244581413e-23
"MLLT10",769.583276496166,-0.535338852480521,0.0746446707538764,-7.17182951004871,7.40020666630618e-13,3.21254630873954e-12
"NBPF10",711.904144479771,-0.942579644694162,0.0817468963230112,-11.5304639942499,9.26430560545637e-31,1.97907262625422e-29
