"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"EFEMP2",626.035430118858,0.87159020820359,0.0877119838902602,1.39158022116506e-23,5.58825834799212e-23
"ADORA2B",472.441371352613,0.157439890520601,0.0851638337514565,0.0627177093261592,0.0783231702536745
"SPATA7",333.743841718987,-0.835054889227943,0.0993936821800151,2.25482898536715e-17,6.91245370832013e-17
"TRMT2B",448.457162023982,-0.0881125107451871,0.094539961005712,0.347316642923375,0.388397415398698
"EXOC6B",355.637314726072,-0.609653166785589,0.0957958090815658,1.37234900321546e-10,3.08955876144938e-10
"LSM1",570.723012018139,0.489586182868125,0.0856513641428665,8.65101235364401e-09,1.77341812612432e-08
"SLC35B3",393.862025465402,-0.269786729325793,0.090553350178771,0.00268074376097952,0.00384619782327147
"CNDP2",591.053488599582,0.509999270473817,0.0830619133260117,6.42658940825557e-10,1.40011914798868e-09
"HAUS5",555.456108109801,0.451885065054639,0.0828717025584224,4.06925504082934e-08,8.0296714858575e-08
"TMEM70",565.112481971295,0.285798514752516,0.0834652816528555,0.000568046628654471,0.000866673921738504
"TPRA1",702.13360265626,0.925696145064515,0.0896820258493745,2.4693112309895e-25,1.07196691091927e-24
"C3orf38",392.000478903483,-0.62989524660336,0.0964404445010478,4.44257243258106e-11,1.02651327079029e-10
"FLI1",283.761917870781,-1.23935653412731,0.12566422098668,1.32616851333078e-23,5.33033673667129e-23
"FADS3",572.654916347239,0.972813122141385,0.0992884974034935,4.6254750047271e-23,1.81853634358825e-22
"MEX3A",377.500776037059,-0.35183345707355,0.0918182130754294,0.000112426816008931,0.000180871597108745
"COL6A6",199.116181754143,-3.09361923666205,0.167645403122723,5.68118412347486e-85,5.55809180079957e-83
"JAG1",336.123686452913,-0.883568904262199,0.112792922196645,2.2244986892406e-15,6.27123758685265e-15
"CBX4",415.834588665486,0.135438275628693,0.10181845053776,0.179232462619389,0.210327464391514
"MRPS18C",568.356281506663,0.500752464462736,0.0811177540145227,5.26106610604383e-10,1.15083690048117e-09
"INPP5E",583.464555583327,0.580364713876609,0.082181682021514,1.18943175662084e-12,2.95464915292327e-12
"KLHL8",290.963365017335,-1.13374383427351,0.109262360238759,9.09436824615856e-26,4.02963786318959e-25
"TMA16",484.910057713359,-0.271007300865969,0.0922926258508459,0.00307848682647378,0.00439862955278045
"LZTS1",424.323187716854,-0.282459833687128,0.0882398813991169,0.00126263837770652,0.00186121637050067
"ZFP41",454.542888477909,0.101186911558926,0.0916381245588759,0.265764326905977,0.303476128004525
"ECI1",781.616285578082,1.04978719949373,0.100047880609494,3.21715715239331e-26,1.45169915489512e-25
"SLC9A3",495.905469518407,0.287897544620663,0.0946886479709425,0.00216954222699069,0.00314112489078834
"PPARD",459.72093926315,0.152141020817675,0.0879797926074131,0.0815476582049554,0.100270941113397
"PARD6B",412.200119805562,-0.505643576830963,0.0931811517018974,4.48474140905386e-08,8.8250245975275e-08
"PSKH1",498.191232559917,0.431458117431798,0.0951093295459652,4.76454836059778e-06,8.39767198647919e-06
"GET1",442.164243855072,-0.0895525423056666,0.0903869203168273,0.318117591698744,0.358626052565526
"ADNP2",332.701752089951,-1.01800790477682,0.101803026047569,5.61889124483608e-24,2.29324820727122e-23
"TPRKB",583.501928387227,0.360760208459867,0.0817548298664044,8.98575555506109e-06,1.55594056366397e-05
"RCL1",517.448390493261,0.19931910714694,0.0871402757404667,0.0212473829276103,0.0280521139160637
"SNAPIN",600.831401668323,0.694760675637086,0.0813153155006238,8.18503748747209e-18,2.56573464402973e-17
"NBPF11",399.726443165028,-0.158101817419788,0.098166407457194,0.104144388024903,0.126364103776778
"COL13A1",519.157872155317,0.240709322021337,0.0881713368781547,0.00596226309619766,0.00831146247411095
"COG3",390.867058869152,-0.742798171764362,0.10664998548835,1.92785740546526e-12,4.73494684940632e-12
"FANCM",288.415816058725,-1.67147167607323,0.115145589803019,5.08044877783371e-49,6.74445810713204e-48
"AFAP1L2",452.841245189136,-0.167017991862733,0.0910948333355375,0.064649288598878,0.0806011677323346
"FBXL12",457.659576481176,-0.0834806308672247,0.0861900052665406,0.329420075871258,0.370378118282633
"SLC36A1",348.988444890224,-0.31465224203474,0.101876998177303,0.00181699111563747,0.00264601413571584
"MFSD11",392.138034892188,-0.236482096914022,0.0935978512825077,0.0108564239548376,0.0147844038545756
"GPRC5B",417.461583432676,-0.195903048092543,0.0933168936791784,0.0343080292055025,0.0442822851150563
"GK5",320.02851342696,-1.14459427328674,0.103192565219415,3.85438353912487e-29,1.9854266372272e-28
"MLF1",451.574399042611,-0.0888211129792549,0.0854627539885538,0.29538470987632,0.334590902595872
"TIGD5",563.861907490728,0.652680473948164,0.0849218072340555,1.01307996696208e-14,2.77548551825387e-14
"ZSWIM4",490.300321204856,0.20442041069913,0.0865602218627182,0.0174010057752779,0.0231916070061231
"TCEAL1",437.017245421292,-0.303949611073374,0.0960419151496592,0.00141242683566084,0.00207363796305535
"MRPL23",747.489645124205,1.23122658348091,0.0930670534897676,1.36106333070688e-40,1.17793051460728e-39
"PSRC1",619.573029161946,0.879090129714688,0.0921809129319063,7.04407754417136e-22,2.619892311952e-21
"TRMT12",437.2133222741,-0.0703641517546646,0.0888970677106212,0.425237604851085,0.466876513516531
"DGKE",324.59185947437,-0.937931687334691,0.101096292390726,7.42958332309399e-21,2.63826418845586e-20
"SLC38A7",521.973744175133,0.44553370552649,0.0811254459887892,3.28232000866613e-08,6.50919542259128e-08
"ARRDC1",684.754778138506,0.922921696223947,0.0927291359400919,1.08315687983441e-23,4.37050240126849e-23
"SNAPC5",612.909185981304,0.723730792998762,0.0876097323454058,8.76826253849612e-17,2.63184331996968e-16
"SERPINB1",544.738621857797,0.253179375922371,0.0827218073080412,0.00206890840310227,0.00299928404920904
"NCKIPSD",554.165116096796,0.523090591714087,0.0897114230458378,4.23445779074351e-09,8.82380222763205e-09
"CD24",404.286174346024,-0.464372886513145,0.0916352401467224,3.26494873707598e-07,6.14356416714465e-07
"ZNF746",489.694761096081,0.227050147006454,0.0836340354936607,0.00628500645801106,0.00873611368162332
"ZDHHC12",795.7244152957,1.20002165087589,0.0891357448477563,6.42650084407776e-42,5.86244512810094e-41
"MRPL53",735.993406559187,1.13013897343618,0.0971443365501988,8.08977454387736e-32,4.6815279089965e-31
"HDHD3",654.211220736176,0.827258429472718,0.0794540540458162,1.14303166617007e-25,5.03657654208948e-25
"PIP4P2",357.591585409419,-0.749316087482029,0.107259242406677,1.64215145010937e-12,4.0489762861694e-12
"POLR2G",760.188355731772,1.0733213668205,0.0847373790107776,3.00742837911587e-37,2.2420370263083e-36
"LTB4R",560.154551355163,0.516918277252197,0.0790165809427719,4.70279446936301e-11,1.08515515520202e-10
"CDAN1",487.850874877143,0.268467808002366,0.0885212645833533,0.00225048011117578,0.00325272797141464
"ELP6",670.099578064563,0.771569548197253,0.0791631015948185,1.08348406423944e-22,4.17707548580717e-22
"NHLRC3",389.255433176267,-0.550620380807093,0.0997318967595734,2.50983899470867e-08,5.01559151384868e-08
"LAMTOR4",907.103122278072,1.42712297575277,0.102302183023165,4.14017781568492e-45,4.46101681480943e-44
"SERTAD3",619.270492235697,0.878714170528864,0.0828110493148899,1.26843439756962e-26,5.83082492393172e-26
"TEAD4",667.286169798468,0.858636296388466,0.0902218680699546,8.81215883394439e-22,3.25953305252283e-21
"PDIA5",545.999273963022,0.421862031713144,0.0812980001622909,1.77853276345036e-07,3.39295899948329e-07
"ABCA2",399.570522345673,0.0343376965611761,0.099314219789665,0.727132488342332,0.755561896799032
"MAPK7",535.001145508297,0.307659058321381,0.0825252310938233,0.000175597226879628,0.000278484454375879
"ABHD13",288.173880482396,-1.21826064517389,0.113473637995261,1.60879493030192e-27,7.69678963643026e-27
"KIAA1586",371.165211553601,-0.856039991914383,0.100377211168264,7.34271440431911e-18,2.31027702569826e-17
"EIF1AD",543.548748975952,0.322273803631044,0.0903291815150994,0.000324395828106485,0.000503989421779706
"CYB561A3",610.101511419618,0.603343087335318,0.0876883207285584,4.20498738852344e-12,1.0186889419066e-11
"ABCB8",568.088167950125,0.401833145508459,0.0888164179488787,5.17182881778784e-06,9.1024456875184e-06
"CC2D2A",466.090974986954,-0.103357998049926,0.0910035779840638,0.25239575860753,0.289367793559805
"KCNAB2",457.511583467702,0.0160867656556064,0.0844259702589537,0.847890840077295,0.866503234568433
