"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ATP7A",208.887610509706,-1.29373859514245,0.12406839671766,8.43528553485215e-27,1.27119028767649e-25
"RNPEPL1",638.592348603928,1.05624850274057,0.0801411806589774,1.43530287405935e-40,7.54008719948453e-39
"INSIG1",716.524096269374,1.81373817443139,0.0776898205519964,5.84157055632072e-124,2.62890146936287e-120
"KIAA2026",222.601461691126,-1.02089644662992,0.11637229578389,2.35202278788684e-19,1.77004791857638e-18
"NHS",229.238060250372,-1.08661083509146,0.129029653606951,3.86087317219856e-18,2.65000755962648e-17
"MTFP1",629.097246926968,1.04564941863248,0.0881127229259041,2.25624942406491e-33,6.1290992906037e-32
"KDM7A",212.611735408382,-1.29340902196396,0.12502554208257,1.99935401714984e-26,2.91189628754477e-25
"KCNJ2",252.004735510236,-1.27321777861149,0.113585202326901,1.87841864097544e-30,3.86005023924039e-29
"GRHL2",180.929162366839,-1.66658132710728,0.144745718717732,2.98437903235058e-33,8.04233559196909e-32
"HIVEP1",236.043500088512,-1.15523053121964,0.115861137935797,1.68226790630013e-24,2.04431134140036e-23
"BMI1",185.620900519418,-1.62933100566631,0.340198057550127,3.95825629217438e-10,1.35121158535136e-09
"FSD1L",241.785113614985,-1.12345940115174,0.115606667230404,2.34841827467075e-23,2.53647961010639e-22
"TM4SF19",318.458967065755,-1.11753523569641,0.107288079690096,2.01701906164455e-26,2.93445844302404e-25
"ITGA1",256.728709026784,-1.17852322908293,0.124916814959248,2.89231647479405e-22,2.81943427625953e-21
"DGCR6L",772.637376798039,1.06231746405225,0.0820059664163936,2.72232386180358e-39,1.22513648194034e-37
"HYCC2",264.00639557084,-1.09205081011972,0.108401656583076,7.60539286376599e-25,9.56946962289884e-24
"TIMM17B",759.238705995887,1.06728908062478,0.0969357854198124,4.01700644501343e-29,7.3686961975715e-28
"PRTG",244.939846431715,-1.40338102755487,0.11172330016267,9.60157519354722e-38,3.72502490482991e-36
